Baseline,ScopeOnly,BaselineOnly,Delta,DeltaCILow,DeltaCIHigh,McNemarP,Common,Wins,Losses,Ties,MedianRelativeCostPct,SignTestP,FeasibilityHolmP,QualityHolmP
NuWLS,190,0,190,167.0,214.0,1.2744735289059618e-57,582,37,273,272,0.0,1.30043134988885e-45,6.372367644529809e-57,3.90129404966655e-45
SATLike3.0,231,0,231,206.0,257.0,5.795634610449096e-70,541,200,231,110,0.0,0.14835877029850053,4.056944227314367e-69,0.20370376244711352
BandMaxSAT,201,0,201,177.0,225.00000000000003,6.223015277861142e-61,571,211,247,113,0.0,0.10185188122355676,3.733809166716685e-60,0.20370376244711352
NuWLS-c-2023,5,0,5,0.9999999999999999,10.0,0.0625,756,66,560,130,9.028080896260729,1.6054412271959375e-98,0.1875,9.632647363175625e-98
NuWLS-c-FPS,4,1,3,-0.9999999999999999,7.999999999999999,0.375,757,92,525,140,8.527131782945736,1.433108367236426e-74,0.375,5.732433468945704e-74
SPB-MaxSAT-c-FPS,4,0,4,0.9999999999999999,7.999999999999999,0.125,757,72,567,118,9.58904109589041,2.5397700276182813e-96,0.25,1.2698850138091406e-95
SPB-MaxSAT-c-Band,6,0,6,1.9999999999999998,11.0,0.03125,754,60,573,121,10.020187690964644,5.088715647326014e-106,0.125,3.56210095312821e-105
