Instance,Seed,CutoffSeconds,HasVerifiedSolution,FirstFeasibleTimeSeconds,PaperTableTimeSeconds,BestCost,ModelName,KernelName,ControllerEnabled,Feasible
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_4_old.wcnf,1,60,True,1.83258,1.96271,212.0,Host-NuWLS,NuWLS,False,True
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2_old.wcnf,1,60,True,0.0928519,4.72448,84.0,Host-NuWLS,NuWLS,False,True
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4_old.wcnf,1,60,True,0.191862,4.01288,155.0,Host-NuWLS,NuWLS,False,True
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_6_old.wcnf,1,60,True,0.605007,1.46663,338.0,Host-NuWLS,NuWLS,False,True
decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2_old.wcnf,1,60,True,0.195488,0.340252,335.0,Host-NuWLS,NuWLS,False,True
decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_3_old.wcnf,1,60,True,0.236335,0.313238,443.0,Host-NuWLS,NuWLS,False,True
decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_2_old.wcnf,1,60,True,0.917244,0.917244,286.0,Host-NuWLS,NuWLS,False,True
drmx-cryptogen_wt-geffe128_7_old.wcnf,1,60,True,0.0149312,30.7895,800.0,Host-NuWLS,NuWLS,False,True
generalized-ising_wt-IS11_5.0.5.0.0.5_softer_periodic_old.wcnf,1,60,True,0.0443424,0.0475829,112072158920140.0,Host-NuWLS,NuWLS,False,True
generalized-ising_wt-IS12_5.0.5.0.0.5_softer_periodic_old.wcnf,1,60,True,1.4733,1.90484,113171466486232.0,Host-NuWLS,NuWLS,False,True
generalized-ising_wt-IS13_5.0.5.0.0.5_softer_periodic_old.wcnf,1,60,True,0.0671962,0.0695297,119401387482250.0,Host-NuWLS,NuWLS,False,True
generalized-ising_wt-IS15_5.0.5.0.0.5_softer_periodic_old.wcnf,1,60,True,0.0422385,0.045854,114658059944605.0,Host-NuWLS,NuWLS,False,True
generalized-ising_wt-IS16_5.0.5.0.0.5_softer_periodic_old.wcnf,1,60,True,0.0444084,1.46763,115258059944605.0,Host-NuWLS,NuWLS,False,True
generalized-ising_wt-IS17_5.0.5.0.0.5_softer_periodic_old.wcnf,1,60,True,0.0792015,0.185227,115902780531937.0,Host-NuWLS,NuWLS,False,True
generalized-ising_wt-IS20_5.0.5.0.0.5_softer_periodic_old.wcnf,1,60,True,0.0451212,0.0478173,119388436533633.0,Host-NuWLS,NuWLS,False,True
generalized-ising_wt-IS22_5.0.5.0.0.5_softer_periodic_old.wcnf,1,60,True,0.0459953,25.4575,119082223939873.0,Host-NuWLS,NuWLS,False,True
generalized-ising_wt-IS23_5.0.5.0.0.5_softer_periodic_old.wcnf,1,60,True,0.119292,0.162949,118669898946710.0,Host-NuWLS,NuWLS,False,True
generalized-ising_wt-IS3_5.0.5.0.0.5_softer_periodic_old.wcnf,1,60,True,0.0813044,11.8783,116825198407457.0,Host-NuWLS,NuWLS,False,True
generalized-ising_wt-IS4_5.0.5.0.0.5_softer_periodic_old.wcnf,1,60,True,0.194289,10.1855,116029668824275.0,Host-NuWLS,NuWLS,False,True
generalized-ising_wt-IS5_5.0.5.0.0.5_softer_periodic_old.wcnf,1,60,True,0.0799198,0.408954,115021199007239.0,Host-NuWLS,NuWLS,False,True
generalized-ising_wt-IS6_5.0.5.0.0.5_softer_periodic_old.wcnf,1,60,True,0.23536,13.0535,113944733329243.0,Host-NuWLS,NuWLS,False,True
generalized-ising_wt-IS7_5.0.5.0.0.5_softer_periodic_old.wcnf,1,60,True,0.041608,2.20331,112740955536223.0,Host-NuWLS,NuWLS,False,True
