ID,Feasible,RMST,MedianFirst,GlobalWins,MeanWinningTime,Wins,Losses,Ties,MedianRelativeCostPct,SolverErrors,NoVerifiedOutput
Y00,132,16.323420058749996,0.8530614999999999,83,22.918496945783133,54.0,10.0,49.0,0.0,4,28
Y01,126,15.55057835625,0.45572250000000003,22,17.226258318181817,38.0,59.0,15.0,0.00338119512095243,9,34
Y10,134,17.023064568749998,3.048714,86,17.872884372093022,61.0,21.0,49.0,0.0,26,26
Y11,135,16.94772946875,3.373629,59,14.129678830508475,,,,,25,25
