Dataset,Baseline,Pairs,ScopeFeasible,BaselineFeasible,DeltaFeasible,BothFeasible,ScopeOnlyFeasible,BaselineOnlyFeasible,NeitherFeasible,FeasibilityExactP,ScopeQualityWins,ScopeQualityLosses,QualityTies,QualityExactP,MedianRelativeImprovementPct,MedianRelativeImprovementChangedPct,FeasibilityHolmP,QualityHolmP
24-pms-60s,NuWLS-c-2023,216,202,208,-6,201,1,7,7,0.0703125,20,130,51,5.9947295585608996e-21,-8.928571428571429,-23.185685685685684,,
24-pms-60s,NuWLS-c-FPS,216,202,208,-6,201,1,7,7,0.0703125,25,120,56,4.36997097460836e-16,-5.566600397614314,-19.672131147540984,,
24-pms-60s,SPB-MaxSAT-c-FPS,216,202,207,-5,201,1,6,8,0.125,24,126,51,6.68983977234623e-18,-8.51063829787234,-22.081676696731076,,
24-pms-60s,SPB-MaxSAT-c-Band,216,202,208,-6,201,1,7,7,0.0703125,18,131,52,2.2754371745663552e-22,-9.45945945945946,-22.834645669291337,,
Primary held-out,NuWLS,596,567,454,113,454,113,0,29,1.925929944387236e-34,36,132,286,4.430292479224892e-14,0.0,-8.890469416785207,9.62964972193618e-34,1.3290877437674676e-13
Primary held-out,SATLike3.0,596,567,408,159,408,159,0,29,2.7369110631344083e-48,187,126,95,0.0006713738624417972,0.0,1.2834224598930482,1.9158377441940858e-47,0.0006713738624417972
Primary held-out,BandMaxSAT,596,567,450,117,450,117,0,29,1.2037062152420224e-35,218,140,92,4.415856150229125e-05,0.0,1.4117086519676763,7.222237291452134e-35,8.83171230045825e-05
Primary held-out,NuWLS-c-2023,596,567,569,-2,558,9,11,18,0.8238029479980469,64,370,124,2.0331841987986404e-53,-4.672727272727273,-19.68694184140344,1.0,1.2199105192791843e-52
Primary held-out,NuWLS-c-FPS,596,567,569,-2,558,9,11,18,0.8238029479980469,101,343,114,6.979613748195334e-32,-3.2452910804401176,-14.285714285714286,1.0,2.7918454992781338e-31
Primary held-out,SPB-MaxSAT-c-FPS,596,567,567,0,558,9,9,20,1.0,75,370,113,6.298765307124828e-48,-5.510120713949614,-17.54385964912281,1.0,3.1493826535624137e-47
Primary held-out,SPB-MaxSAT-c-Band,596,567,569,-2,558,9,11,18,0.8238029479980469,59,383,116,3.12720971442069e-59,-5.0992577721941075,-18.643132928847216,1.0,2.189046800094483e-58
All four tracks,NuWLS,784,751,578,173,578,173,0,33,1.6704779438076223e-52,55,173,350,2.11960151252341e-15,0.0,-7.019704433497537,8.352389719038111e-52,6.3588045375702294e-15
All four tracks,SATLike3.0,784,751,524,227,524,227,0,33,9.273015376718553e-69,248,172,104,0.00024375941991483155,0.0,0.6715203948120614,6.4911107637029874e-68,0.0002666384477668556
All four tracks,BandMaxSAT,784,751,563,188,563,188,0,33,5.0978941156238473e-57,273,190,100,0.0001333192238834278,0.0,0.8657074547510336,3.0587364693743084e-56,0.0002666384477668556
All four tracks,NuWLS-c-2023,784,751,750,1,738,13,12,21,1.0,80,518,140,1.7177968016949034e-79,-7.668909720331402,-18.167185288268,1.0,1.0306780810169421e-78
All four tracks,NuWLS-c-FPS,784,751,750,1,738,13,12,21,1.0,123,479,136,1.5572291289200742e-50,-5.687233420125841,-14.285714285714286,1.0,6.228916515680297e-50
All four tracks,SPB-MaxSAT-c-FPS,784,751,748,3,738,13,10,23,0.6776394844055176,96,517,125,1.1101416244921802e-70,-7.330285752564247,-17.391304347826086,1.0,5.550708122460901e-70
All four tracks,SPB-MaxSAT-c-Band,784,751,750,1,738,13,12,21,1.0,79,529,130,1.0455354521326413e-82,-7.67051645238614,-17.771799667421494,1.0,7.318748164928489e-82
