Dataset,Baseline,Pairs,ScopeFeasible,BaselineFeasible,DeltaFeasible,BothFeasible,ScopeOnlyFeasible,BaselineOnlyFeasible,NeitherFeasible,FeasibilityExactP,ScopeQualityWins,ScopeQualityLosses,QualityTies,QualityExactP,MedianRelativeImprovementPct,MedianRelativeImprovementChangedPct,FeasibilityHolmP,QualityHolmP
23-wpms-60s,NuWLS,160,158,104,54,104,54,0,2,1.1102230246251565e-16,11,41,52,3.5887916129517805e-05,0.0,-2.1832309422827585,,
23-wpms-60s,SATLike3.0,160,158,98,60,98,60,0,2,1.734723475976807e-18,51,39,8,0.24610644971627832,0.029790553958644914,0.11124203448178913,,
23-wpms-60s,BandMaxSAT,160,158,99,59,99,59,0,2,3.469446951953614e-18,43,48,8,0.675222459916057,0.0,-0.1058332814542738,,
23-wpms-60s,NuWLS-c-2023,160,158,155,3,154,4,1,1,0.375,16,124,14,7.019412612420993e-22,-7.615650841367408,-11.933068898412326,,
23-wpms-60s,NuWLS-c-FPS,160,158,155,3,154,4,1,1,0.375,20,113,21,6.087488793851009e-17,-6.668822179677164,-14.175257731958762,,
23-wpms-60s,SPB-MaxSAT-c-FPS,160,158,155,3,154,4,1,1,0.375,19,123,12,7.713463986436663e-20,-6.764781895872906,-11.230900006219809,,
23-wpms-60s,SPB-MaxSAT-c-Band,160,158,155,3,154,4,1,1,0.375,17,123,14,5.173180589404356e-21,-8.447849941526254,-13.113666001953206,,
23-pms-60s,NuWLS,179,166,141,25,141,25,0,13,5.960464477539063e-08,8,68,65,5.632907524806409e-13,0.0,-13.270440251572328,,
23-pms-60s,SATLike3.0,179,166,112,54,112,54,0,13,1.1102230246251565e-16,43,47,22,0.7520332015985951,0.0,-0.5501884206920178,,
23-pms-60s,BandMaxSAT,179,166,140,26,140,26,0,13,2.9802322387695312e-08,62,56,22,0.6454967635578226,0.0,0.8910185331854903,,
23-pms-60s,NuWLS-c-2023,179,166,167,-1,163,3,4,9,1.0,19,120,24,4.014723454584784e-19,-18.367346938775512,-27.027027027027028,,
23-pms-60s,NuWLS-c-FPS,179,166,167,-1,163,3,4,9,1.0,20,119,24,2.4361955285077873e-18,-15.437019857950428,-23.68421052631579,,
23-pms-60s,SPB-MaxSAT-c-FPS,179,166,166,0,163,3,3,10,1.0,19,125,19,2.554715468036583e-20,-17.857142857142858,-23.746867167919802,,
23-pms-60s,SPB-MaxSAT-c-Band,179,166,167,-1,163,3,4,9,1.0,18,124,21,1.1693737942974311e-20,-16.3265306122449,-22.369878183831673,,
24-wpms-60s,NuWLS,229,225,169,56,169,56,0,4,2.7755575615628914e-17,25,0,144,5.960464477539063e-08,0.0,2.586206896551724,,
24-wpms-60s,SATLike3.0,229,225,168,57,168,57,0,4,1.3877787807814457e-17,110,36,22,6.54725587913841e-10,2.174088200930262,3.0057084451962495,,
24-wpms-60s,BandMaxSAT,229,225,163,62,163,62,0,4,4.336808689942018e-19,111,33,19,4.580325624173234e-11,2.6736114757369234,3.833394605170512,,
24-wpms-60s,NuWLS-c-2023,229,225,220,5,220,5,0,4,0.0625,25,144,51,1.5983201845420649e-21,-1.380224605227252,-10.69767441860465,,
24-wpms-60s,NuWLS-c-FPS,229,225,220,5,220,5,0,4,0.0625,58,127,35,4.273991390647431e-07,-0.6013781704141957,-2.4193548387096775,,
24-wpms-60s,SPB-MaxSAT-c-FPS,229,225,220,5,220,5,0,4,0.0625,34,143,43,4.193240929087842e-17,-1.8342910232874243,-6.748466257668712,,
24-wpms-60s,SPB-MaxSAT-c-Band,229,225,220,5,220,5,0,4,0.0625,26,151,43,1.2656782126160675e-22,-1.8095244554293899,-5.987372739742498,,
24-pms-60s,NuWLS,216,202,164,38,164,38,0,14,7.275957614183426e-12,11,64,89,3.108521862394645e-10,0.0,-9.855521155830754,,
24-pms-60s,SATLike3.0,216,202,146,56,146,56,0,14,2.7755575615628914e-17,44,50,52,0.606295937693966,0.0,-0.5313852813852813,,
24-pms-60s,BandMaxSAT,216,202,161,41,161,41,0,14,9.094947017729282e-13,57,53,51,0.7750029828306251,0.0,0.2508637056864515,,
