Dataset,Model,ModelDirectory,InstanceKey,InstanceOriginal,FeasibleReported,FeasibleStrict60,BestCost,BestTimeSeconds,FirstFeasibleTimeSeconds,QualityReported,QualityStrict60,SourceFile,SourceFormat,DevelopmentExcluded,ParameterDevelopmentTrack,PrimaryHeldOut,InstanceBestCostReported,WinReported,UniqueWinReported,SharedWinReported,InstanceBestCostStrict60,WinStrict60,UniqueWinStrict60,SharedWinStrict60
23-pms-60s,SPB-MaxSAT-c-Band,Band,aes_mul_8_11_old,aes-mul_8_11_old.wcnf,True,True,64.0,1.099525,0.150031,True,True,all_60s\Band\Band_23_pms_60s.xlsx,uniform-wrapper,False,False,True,64.0,True,False,True,64.0,True,False,True
23-pms-60s,SPB-MaxSAT-c-Band,Band,aes_mul_8_13_old,aes-mul_8_13_old.wcnf,True,True,60.0,1.860636,0.146633,True,True,all_60s\Band\Band_23_pms_60s.xlsx,uniform-wrapper,False,False,True,60.0,True,False,True,60.0,True,False,True
23-pms-60s,SPB-MaxSAT-c-Band,Band,aes_mul_8_14_old,aes-mul_8_14_old.wcnf,True,True,56.0,4.871077,0.139019,True,True,all_60s\Band\Band_23_pms_60s.xlsx,uniform-wrapper,False,False,True,56.0,True,False,True,56.0,True,False,True
23-pms-60s,SPB-MaxSAT-c-Band,Band,aes_mul_8_3_old,aes-mul_8_3_old.wcnf,True,True,36.0,0.259045,0.068923,True,True,all_60s\Band\Band_23_pms_60s.xlsx,uniform-wrapper,False,False,True,36.0,True,False,True,36.0,True,False,True
23-pms-60s,SPB-MaxSAT-c-Band,Band,aes_mul_8_9_old,aes-mul_8_9_old.wcnf,True,True,42.0,0.532332,0.102994,True,True,all_60s\Band\Band_23_pms_60s.xlsx,uniform-wrapper,False,False,True,42.0,True,False,True,42.0,True,False,True
23-pms-60s,SPB-MaxSAT-c-Band,Band,aes_sbox_8_old,aes-sbox_8_old.wcnf,True,True,845.0,1.635292,1.635292,True,True,all_60s\Band\Band_23_pms_60s.xlsx,uniform-wrapper,False,False,True,845.0,True,False,True,845.0,True,False,True
23-pms-60s,SPB-MaxSAT-c-Band,Band,atcoss_atcoss_mesat_02_old,atcoss-atcoss_mesat_02_old.wcnf,True,True,60.0,10.645153,1.087128,True,True,all_60s\Band\Band_23_pms_60s.xlsx,uniform-wrapper,False,False,True,60.0,True,False,True,60.0,True,False,True
23-pms-60s,SPB-MaxSAT-c-Band,Band,atcoss_atcoss_mesat_15_old,atcoss-atcoss_mesat_15_old.wcnf,False,False,,,,False,False,all_60s\Band\Band_23_pms_60s.xlsx,uniform-wrapper,False,False,True,,False,False,False,,False,False,False
23-pms-60s,SPB-MaxSAT-c-Band,Band,atcoss_atcoss_sugar_05_old,atcoss-atcoss_sugar_05_old.wcnf,True,True,13.0,18.210911,2.322984,True,True,all_60s\Band\Band_23_pms_60s.xlsx,uniform-wrapper,False,False,True,13.0,True,False,True,13.0,True,False,True
23-pms-60s,SPB-MaxSAT-c-Band,Band,atcoss_atcoss_sugar_15_old,atcoss-atcoss_sugar_15_old.wcnf,False,False,,,,False,False,all_60s\Band\Band_23_pms_60s.xlsx,uniform-wrapper,False,False,True,,False,False,False,,False,False,False
23-pms-60s,SPB-MaxSAT-c-Band,Band,bcp_su3_simp_genos_haps_9_old,bcp-SU3__simp-genos.haps.9_old.wcnf,True,True,106.0,0.716155,0.029955,True,True,all_60s\Band\Band_23_pms_60s.xlsx,uniform-wrapper,False,False,True,106.0,True,False,True,106.0,True,False,True
23-pms-60s,SPB-MaxSAT-c-Band,Band,decision_tree_anneal_un_formula_0_8_2021_atleast_127_max_6_reduced_incomplete_tree_old,decision-tree-anneal-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree_old.wcnf,True,True,88.0,50.356119,2.030249,True,True,all_60s\Band\Band_23_pms_60s.xlsx,uniform-wrapper,False,False,True,88.0,True,True,False,88.0,True,True,False
23-pms-60s,SPB-MaxSAT-c-Band,Band,decision_tree_australian_credit_un_formula_0_8_2021_atleast_127_max_6_reduced_incomplete_tree_old,decision-tree-australian-credit-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree_old.wcnf,True,True,66.0,41.848707,3.65757,True,True,all_60s\Band\Band_23_pms_60s.xlsx,uniform-wrapper,False,False,True,62.0,False,False,False,62.0,False,False,False
23-pms-60s,SPB-MaxSAT-c-Band,Band,decision_tree_breast_cancer_un_formula_0_8_2021_atleast_127_max_6_reduced_incomplete_tree_old,decision-tree-breast-cancer-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree_old.wcnf,True,True,12.0,34.26129,2.15136,True,True,all_60s\Band\Band_23_pms_60s.xlsx,uniform-wrapper,False,False,True,9.0,False,False,False,9.0,False,False,False
23-pms-60s,SPB-MaxSAT-c-Band,Band,decision_tree_breast_cancer_un_formula_0_8_2021_atleast_15_max_3_reduced_incomplete_tree_old,decision-tree-breast-cancer-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree_old.wcnf,True,True,20.0,33.05753,0.077441,True,True,all_60s\Band\Band_23_pms_60s.xlsx,uniform-wrapper,False,False,True,20.0,True,True,False,20.0,True,True,False
23-pms-60s,SPB-MaxSAT-c-Band,Band,decision_tree_car_un_formula_0_8_2021_atleast_31_max_4_reduced_incomplete_tree_old,decision-tree-car-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree_old.wcnf,True,True,112.0,13.115563,0.090751,True,True,all_60s\Band\Band_23_pms_60s.xlsx,uniform-wrapper,False,False,True,112.0,True,False,True,112.0,True,False,True
