Dataset,Model,ModelDirectory,InstanceKey,InstanceOriginal,FeasibleReported,FeasibleStrict300,BestCost,BestTimeSeconds,FirstFeasibleTimeSeconds,QualityReported,QualityStrict300,SourceFile,SourceFormat,DevelopmentExcluded,ParameterDevelopmentTrack,PrimaryHeldOut,InstanceBestCostReported,WinReported,UniqueWinReported,SharedWinReported,InstanceBestCostStrict300,WinStrict300,UniqueWinStrict300,SharedWinStrict300
24-wpms-300s,NuWLS-c-FPS,NFPS,parametricrbacmaintenance_mse20_wt_role_smallcomp_multiple_0_1_9_old,ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.1_9_old.wcnf,True,True,107667.0,0.536151,0.050701,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,107667.0,True,False,True,107667.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,parametricrbacmaintenance_mse20_wt_role_smallcomp_multiple_0_4_2_old,ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.4_2_old.wcnf,True,True,193813.0,0.324655,0.009128,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,193813.0,True,False,True,193813.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,parametricrbacmaintenance_mse20_wt_role_smallcomp_multiple_0_5_2_old,ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.5_2_old.wcnf,True,True,224309.0,169.405748,0.0349,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,224309.0,True,False,True,224309.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,parametricrbacmaintenance_mse20_wt_role_smallcomp_multiple_0_8_0_old,ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.8_0_old.wcnf,True,True,313158.0,86.588255,0.007979,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,313158.0,True,False,True,313158.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,parametricrbacmaintenance_mse20_wt_role_smallcomp_multiple_0_8_2_old,ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.8_2_old.wcnf,True,True,296397.0,116.857883,0.025608,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,296197.0,False,False,False,296197.0,False,False,False
24-wpms-300s,NuWLS-c-FPS,NFPS,parametricrbacmaintenance_mse20_wt_role_smallcomp_multiple_0_8_6_old,ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.8_6_old.wcnf,True,True,267739.0,0.234009,0.008609,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,267394.0,False,False,False,267394.0,False,False,False
24-wpms-300s,NuWLS-c-FPS,NFPS,planning_bnn_inventory_4_7_old,planning-bnn-inventory_4_7_old.wcnf,True,True,15.0,13.605722,13.605722,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,15.0,True,False,True,15.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,planning_bnn_inventory_4_8_old,planning-bnn-inventory_4_8_old.wcnf,True,True,17.0,24.912844,7.410524,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,17.0,True,False,True,17.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,preference_planning_wt_wcnf_pathways_p16_old,preference_planning_wt-WCNF_pathways_p16_old.wcnf,True,True,257.0,6.485867,0.185624,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,257.0,True,False,True,257.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,protein_ins_wt_1bpi_2knt_g_wcnf_t_old,protein_ins_wt-1bpi_.2knt_.g.wcnf.t_old.wcnf,True,True,2407.0,6.376667,2.783589,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,2407.0,True,False,True,2407.0,True,False,True
