Index,Set,Instance,Model,Kernel,ControllerEnabled,Seed,CutoffSeconds,CCEHCProbability,CCEHCSmoothProbability,SolverSHA256,VerifierSHA256,ExternalSeconds,InternalSeconds,FirstFeasibleTimeSeconds,PaperTableTimeSeconds,SolverExitCode,VerifierExitCode,EarlyExit,HasVerifiedSolution,BestCost,SelectedCandidate,Log
1,"23_old_wpms_160","abstraction-refinement_wt-downcast-antlr_old.wcnf","Host-NuWLS","NuWLS",False,1,60,,,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c","ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c",63.760205,,14.4102,38.1171,0,0,False,True,76306,"host-final-output","001.log"
2,"23_old_wpms_160","abstraction-refinement_wt-downcast-avrora_old.wcnf","Host-NuWLS","NuWLS",False,1,60,,,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c","ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c",60.734421,,10.5337,15.4202,0,0,False,True,46694,"host-final-output","002.log"
3,"23_old_wpms_160","abstraction-refinement_wt-downcast-hsqldb_old.wcnf","Host-NuWLS","NuWLS",False,1,60,,,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c","ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c",61.565624,,20.362,25.0385,0,0,False,True,30280,"host-final-output","003.log"
4,"23_old_wpms_160","abstraction-refinement_wt-downcast-pmd_old.wcnf","Host-NuWLS","NuWLS",False,1,60,,,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c","ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c",65.016391,,21.7978,53.001,0,0,False,True,4286,"host-final-output","004.log"
5,"23_old_wpms_160","abstraction-refinement_wt-downcast-xalan_old.wcnf","Host-NuWLS","NuWLS",False,1,60,,,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c","ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c",60.788993,,11.298,23.2312,0,0,False,True,65534,"host-final-output","005.log"
6,"23_old_wpms_160","abstraction-refinement_wt-polysite-avrora_old.wcnf","Host-NuWLS","NuWLS",False,1,60,,,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c","ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c",60.678320,,8.84721,24.2163,0,0,False,True,51857,"host-final-output","006.log"
7,"23_old_wpms_160","abstraction-refinement_wt-polysite-bloat_old.wcnf","Host-NuWLS","NuWLS",False,1,60,,,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c","ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c",62.000212,,30.9301,59.4876,0,0,False,True,183,"host-final-output","007.log"
8,"23_old_wpms_160","abstraction-refinement_wt-polysite-hsqldb_old.wcnf","Host-NuWLS","NuWLS",False,1,60,,,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c","ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c",61.608314,,31.6856,37.6224,0,0,False,True,172545,"host-final-output","008.log"
9,"23_old_wpms_160","abstraction-refinement_wt-polysite-pmd_old.wcnf","Host-NuWLS","NuWLS",False,1,60,,,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c","ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c",61.220368,,16.3027,50.7665,0,0,False,True,188481,"host-final-output","009.log"
10,"23_old_wpms_160","abstraction-refinement_wt-polysite-xalan_old.wcnf","Host-NuWLS","NuWLS",False,1,60,,,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c","ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c",62.646044,,19.8868,53.8908,0,0,False,True,114727,"host-final-output","010.log"
