Index,Set,Instance,Model,Kernel,ControllerEnabled,Seed,CutoffSeconds,CCEHCProbability,CCEHCSmoothProbability,SolverSHA256,VerifierSHA256,ExternalSeconds,InternalSeconds,FirstFeasibleTimeSeconds,PaperTableTimeSeconds,SolverExitCode,VerifierExitCode,EarlyExit,HasVerifiedSolution,BestCost,SelectedCandidate,Log
90,23_old_wpms_160,MinimumWeightDominatingSetProblem_wt-web-wikipedia2009_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,65.053112,65.037848,22.592424,22.592424,0,0,FALSE,TRUE,187372794,retained hard-SAT fallback,090.log
91,23_old_wpms_160,mpe_wt-random-net-50-5_network-8.net_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.044982,60.04155,0.082423,31.720086,0,0,FALSE,TRUE,50365,seeded CCEHC refinement,091.log
92,23_old_wpms_160,ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.1_8_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,65.013845,65.002453,12.17681,12.17681,0,0,FALSE,TRUE,151892,retained hard-SAT fallback,092.log
93,23_old_wpms_160,ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.2_0_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,65.014859,65.002469,13.054606,13.054606,0,0,FALSE,TRUE,225979,retained hard-SAT fallback,093.log
94,23_old_wpms_160,ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.5_1_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,65.014169,65.002363,12.561754,12.561754,0,0,FALSE,TRUE,448683,retained hard-SAT fallback,094.log
95,23_old_wpms_160,ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.6_8_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,65.01402,65.00235,12.217286,12.217286,0,0,FALSE,TRUE,519329,retained hard-SAT fallback,095.log
96,23_old_wpms_160,ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.7_2_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.039688,60.036243,0.064529,49.186776,0,0,FALSE,TRUE,279015,seeded CCEHC refinement,096.log
97,23_old_wpms_160,ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.7_6_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.039525,60.036142,0.071317,2.229286,0,0,FALSE,TRUE,253504,seeded CCEHC refinement,097.log
98,23_old_wpms_160,ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.8_1_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.040121,60.036718,0.062952,8.697799,0,0,FALSE,TRUE,352844,seeded CCEHC refinement,098.log
99,23_old_wpms_160,ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.9_6_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.045456,60.042015,0.070206,37.071996,0,0,FALSE,TRUE,286407,seeded CCEHC refinement,099.log
100,23_old_wpms_160,ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.1_1_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,65.020275,65.006699,15.584337,15.584337,0,0,FALSE,TRUE,207065,retained hard-SAT fallback,100.log
101,23_old_wpms_160,ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.4_7_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,65.025206,65.008776,20.576722,20.576722,0,0,FALSE,TRUE,472255,retained hard-SAT fallback,101.log
102,23_old_wpms_160,ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.5_4_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,65.019672,65.006341,14.371154,14.371154,0,0,FALSE,TRUE,508772,retained hard-SAT fallback,102.log
103,23_old_wpms_160,ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.5_5_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,65.019477,65.007023,17.072028,17.072028,0,0,FALSE,TRUE,501608,retained hard-SAT fallback,103.log
104,23_old_wpms_160,ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.5_7_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,65.02476,65.008547,20.628775,20.628775,0,0,FALSE,TRUE,541999,retained hard-SAT fallback,104.log
105,23_old_wpms_160,pseudoBoolean_wt-normalized-mps-v2-20-10-sentoy.opb.msat_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.279482,60.275421,0.535147,0.535147,0,0,FALSE,TRUE,9460,retained hard-SAT fallback,105.log
106,23_old_wpms_160,railway-transport_wt-bf2030fvslack_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,65.149111,65.089821,,,2,1,FALSE,FALSE,,host-final-output,106.log
107,23_old_wpms_160,railway-transport_wt-f2030_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,65.015706,65.001938,14.341729,14.341729,0,0,FALSE,TRUE,29608,retained hard-SAT fallback,107.log
108,23_old_wpms_160,railway-transport_wt-r11_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,65.764868,65.69113,,,2,1,FALSE,FALSE,,host-final-output,108.log
