Dataset,Instances,DualCoreFeasible,SingleCoreFeasible,FeasibilityDifferenceDualMinusSingle,BothFeasible,DualCoreOnly,SingleCoreOnly,NeitherFeasible,DualCoreQualityWins,SingleCoreQualityWins,QualityTies,MedianDualMinusSingleCostPct
23-wpms-60s,160,149,158,-9,149,0,9,2,62,1,86,0.0
23-pms-60s,179,163,166,-3,163,0,3,13,74,3,86,0.0
24-wpms-60s,229,225,225,0,225,0,0,4,0,0,225,0.0
24-pms-60s,216,191,202,-11,190,1,12,13,75,3,112,0.0
All four tracks,784,728,751,-23,727,1,24,32,211,7,509,0.0
