Index,Mode,Set,Instance,Seed,CutoffSeconds,SolverSHA256,ExternalSeconds,FirstFeasibleTimeSeconds,PaperTableTimeSeconds,SolverExitCode,VerifierExitCode,EarlyExit,HasVerifiedSolution,BestCost,Log
1,"A5","23_old_wpms_160","abstraction-refinement_wt-downcast-antlr_old.wcnf",1,60,"3e502d2e33c819e7ff9d084da1e4e0545de4c478a9b64aefa0028665cd34bfc8",67.454633,,,255,1,False,False,,"001.log"
2,"A5","23_old_wpms_160","abstraction-refinement_wt-downcast-avrora_old.wcnf",1,60,"3e502d2e33c819e7ff9d084da1e4e0545de4c478a9b64aefa0028665cd34bfc8",65.196966,58.155171,58.155171,0,0,False,True,52209,"002.log"
3,"A5","23_old_wpms_160","abstraction-refinement_wt-downcast-hsqldb_old.wcnf",1,60,"3e502d2e33c819e7ff9d084da1e4e0545de4c478a9b64aefa0028665cd34bfc8",63.241261,,,255,1,False,False,,"003.log"
4,"A5","23_old_wpms_160","abstraction-refinement_wt-downcast-pmd_old.wcnf",1,60,"3e502d2e33c819e7ff9d084da1e4e0545de4c478a9b64aefa0028665cd34bfc8",63.525759,,,255,1,False,False,,"004.log"
5,"A5","23_old_wpms_160","abstraction-refinement_wt-downcast-xalan_old.wcnf",1,60,"3e502d2e33c819e7ff9d084da1e4e0545de4c478a9b64aefa0028665cd34bfc8",66.791248,64.799759,64.799759,0,0,False,True,70055,"005.log"
6,"A5","23_old_wpms_160","abstraction-refinement_wt-polysite-avrora_old.wcnf",1,60,"3e502d2e33c819e7ff9d084da1e4e0545de4c478a9b64aefa0028665cd34bfc8",61.339132,60.009905,60.009905,0,0,False,True,57355,"006.log"
7,"A5","23_old_wpms_160","abstraction-refinement_wt-polysite-bloat_old.wcnf",1,60,"3e502d2e33c819e7ff9d084da1e4e0545de4c478a9b64aefa0028665cd34bfc8",63.044300,,,255,1,False,False,,"007.log"
8,"A5","23_old_wpms_160","abstraction-refinement_wt-polysite-hsqldb_old.wcnf",1,60,"3e502d2e33c819e7ff9d084da1e4e0545de4c478a9b64aefa0028665cd34bfc8",62.552184,,,255,1,False,False,,"008.log"
9,"A5","23_old_wpms_160","abstraction-refinement_wt-polysite-pmd_old.wcnf",1,60,"3e502d2e33c819e7ff9d084da1e4e0545de4c478a9b64aefa0028665cd34bfc8",67.504014,,,255,1,False,False,,"009.log"
10,"A5","23_old_wpms_160","abstraction-refinement_wt-polysite-xalan_old.wcnf",1,60,"3e502d2e33c819e7ff9d084da1e4e0545de4c478a9b64aefa0028665cd34bfc8",67.012703,,,255,1,False,False,,"010.log"
11,"A5","23_old_wpms_160","causal-discovery_wt-causal_alarm_9_1000_old.wcnf",1,60,"3e502d2e33c819e7ff9d084da1e4e0545de4c478a9b64aefa0028665cd34bfc8",60.125347,6.782357,6.782357,0,0,False,True,118725495,"011.log"
12,"A5","23_old_wpms_160","causal-discovery_wt-causal_carpo_8_1000_old.wcnf",1,60,"3e502d2e33c819e7ff9d084da1e4e0545de4c478a9b64aefa0028665cd34bfc8",60.041878,2.679399,4.912390,0,0,False,True,4594492,"012.log"
