Index,Mode,Set,Instance,Seed,CutoffSeconds,SolverSHA256,ExternalSeconds,FirstFeasibleTimeSeconds,PaperTableTimeSeconds,SolverExitCode,VerifierExitCode,EarlyExit,HasVerifiedSolution,BestCost,Log
1,"A1","23_old_wpms_160","abstraction-refinement_wt-downcast-antlr_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",67.237915,,,255,1,False,False,,"001.log"
2,"A1","23_old_wpms_160","abstraction-refinement_wt-downcast-avrora_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.049088,,,1,1,False,False,,"002.log"
3,"A1","23_old_wpms_160","abstraction-refinement_wt-downcast-hsqldb_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",63.087709,,,255,1,False,False,,"003.log"
4,"A1","23_old_wpms_160","abstraction-refinement_wt-downcast-pmd_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",63.408668,,,255,1,False,False,,"004.log"
5,"A1","23_old_wpms_160","abstraction-refinement_wt-downcast-xalan_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",67.194999,,,255,1,False,False,,"005.log"
6,"A1","23_old_wpms_160","abstraction-refinement_wt-polysite-avrora_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.624649,,,255,1,False,False,,"006.log"
7,"A1","23_old_wpms_160","abstraction-refinement_wt-polysite-bloat_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",64.119735,,,255,1,False,False,,"007.log"
8,"A1","23_old_wpms_160","abstraction-refinement_wt-polysite-hsqldb_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",62.988896,,,255,1,False,False,,"008.log"
9,"A1","23_old_wpms_160","abstraction-refinement_wt-polysite-pmd_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",67.429906,,,255,1,False,False,,"009.log"
10,"A1","23_old_wpms_160","abstraction-refinement_wt-polysite-xalan_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",66.810789,,,255,1,False,False,,"010.log"
11,"A1","23_old_wpms_160","causal-discovery_wt-causal_alarm_9_1000_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.110324,7.751392,17.156795,0,0,False,True,36049513,"011.log"
12,"A1","23_old_wpms_160","causal-discovery_wt-causal_carpo_8_1000_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.035529,2.707230,6.675065,0,0,False,True,3556961,"012.log"
13,"A1","23_old_wpms_160","causal-discovery_wt-causal_Link_10_10000_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.251729,20.353313,32.059193,0,0,False,True,39112847,"013.log"
14,"A1","23_old_wpms_160","causal-discovery_wt-causal_Link_10_1000_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.230277,20.496655,47.257885,0,0,False,True,33562494,"014.log"
15,"A1","23_old_wpms_160","causal-discovery_wt-causal_Link_9_100_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.090259,7.803772,7.803772,0,0,False,True,3242187,"015.log"
16,"A1","23_old_wpms_160","causal-discovery_wt-causal_Mushroom_7_1000_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.022046,0.941921,20.083285,0,0,False,True,9414169,"016.log"
17,"A1","23_old_wpms_160","causal-discovery_wt-causal_Pigs_6_1000_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.040433,2.667668,2.667668,0,0,False,True,35110976,"017.log"
18,"A1","23_old_wpms_160","causal-discovery_wt-causal_Water_10_1000_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.257442,19.889167,28.822417,0,0,False,True,45193159,"018.log"
19,"A1","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Ionosphere_BINARY_N260_D0.200_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.041216,2.530883,10.104958,0,0,False,True,7014701,"019.log"
20,"A1","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein1_UNARY_N290_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.349187,24.671125,24.671125,0,0,False,True,33957845,"020.log"
21,"A1","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N220_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.019952,0.884091,9.295960,0,0,False,True,14004102,"021.log"
22,"A1","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N240_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.021874,1.043288,9.518875,0,0,False,True,16116883,"022.log"
23,"A1","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N380_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.033316,2.621997,13.837704,0,0,False,True,39198852,"023.log"
24,"A1","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_UNARY_N220_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.188301,13.480439,13.480439,0,0,False,True,23179718,"024.log"
25,"A1","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein3_TRANSITIVE_N280_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",62.774887,,,255,1,False,False,,"025.log"
26,"A1","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein3_UNARY_N220_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.206391,12.913193,12.913193,0,0,False,True,25805511,"026.log"
27,"A1","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_BINARY_N320_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.024315,1.133637,9.162357,0,0,False,True,14733167,"027.log"
28,"A1","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_UNARY_N250_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.145676,11.788364,11.788364,0,0,False,True,20419164,"028.log"
29,"A1","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Vowel_BINARY_N700_D0.200_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.189400,12.476692,12.476692,0,0,False,True,822078090,"029.log"
30,"A1","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.217903,17.249589,17.249589,0,0,False,True,1169882030,"030.log"
31,"A1","23_old_wpms_160","decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_3_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.050073,4.106276,5.691566,0,0,False,True,355,"031.log"
32,"A1","23_old_wpms_160","decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.046375,4.101397,10.870977,0,0,False,True,762,"032.log"
33,"A1","23_old_wpms_160","decision-tree-australian-credit-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.113804,4.575512,4.575512,0,0,False,True,599,"033.log"
34,"A1","23_old_wpms_160","decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.375478,46.073615,46.073615,0,0,False,True,139,"034.log"
35,"A1","23_old_wpms_160","decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_4_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.026421,1.002840,1.187336,0,0,False,True,138,"035.log"
36,"A1","23_old_wpms_160","decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.037375,3.201546,3.504546,0,0,False,True,146,"036.log"
37,"A1","23_old_wpms_160","decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_6_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.039330,3.210489,3.913609,0,0,False,True,240,"037.log"
38,"A1","23_old_wpms_160","decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.154298,16.334514,29.341574,0,0,False,True,120,"038.log"
39,"A1","23_old_wpms_160","decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_4_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.158176,16.360015,16.360015,0,0,False,True,269,"039.log"
40,"A1","23_old_wpms_160","decision-tree-primary-tumor-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.012312,0.390425,5.022405,0,0,False,True,84,"040.log"
41,"A1","23_old_wpms_160","decision-tree-primary-tumor-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4_old.wcnf",1,60,"201c1507fece13bd7927419ad11866f5303fa76afb53989df2adacb4f9f18598",60.041079,1.233047,5.070196,0,0,False,True,155,"041.log"
