Index,Mode,Set,Instance,Seed,CutoffSeconds,SolverSHA256,ExternalSeconds,FirstFeasibleTimeSeconds,PaperTableTimeSeconds,SolverExitCode,VerifierExitCode,EarlyExit,HasVerifiedSolution,BestCost,Log
1,"A0","23_old_wpms_160","abstraction-refinement_wt-downcast-antlr_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",61.101351,21.7668,49.6991,0,0,False,True,76306,"001.log"
2,"A0","23_old_wpms_160","abstraction-refinement_wt-downcast-avrora_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",60.812113,14.2753,19.6233,0,0,False,True,46694,"002.log"
3,"A0","23_old_wpms_160","abstraction-refinement_wt-downcast-hsqldb_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",61.705312,28.1063,33.7357,0,0,False,True,30280,"003.log"
4,"A0","23_old_wpms_160","abstraction-refinement_wt-downcast-pmd_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",61.543143,26.9911,31.4166,0,0,False,True,4287,"004.log"
5,"A0","23_old_wpms_160","abstraction-refinement_wt-downcast-xalan_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",61.704477,12.7192,25.0731,0,0,False,True,65534,"005.log"
6,"A0","23_old_wpms_160","abstraction-refinement_wt-polysite-avrora_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",60.740815,12.359,27.8587,0,0,False,True,51857,"006.log"
7,"A0","23_old_wpms_160","abstraction-refinement_wt-polysite-bloat_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",67.283648,40.4503,41.1374,0,0,False,True,192,"007.log"
8,"A0","23_old_wpms_160","abstraction-refinement_wt-polysite-hsqldb_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",61.813671,37.8941,44.3323,0,0,False,True,172545,"008.log"
9,"A0","23_old_wpms_160","abstraction-refinement_wt-polysite-pmd_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",61.408175,24.124,50.3168,0,0,False,True,188487,"009.log"
10,"A0","23_old_wpms_160","abstraction-refinement_wt-polysite-xalan_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",63.019117,15.5147,48.2159,0,0,False,True,114727,"010.log"
11,"A0","23_old_wpms_160","causal-discovery_wt-causal_alarm_9_1000_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",60.085234,5.37144,46.8303,0,0,False,True,31083142,"011.log"
12,"A0","23_old_wpms_160","causal-discovery_wt-causal_carpo_8_1000_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",60.019478,0.461274,1.76521,0,0,False,True,2807752,"012.log"
13,"A0","23_old_wpms_160","causal-discovery_wt-causal_Link_10_10000_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",60.101135,7.50515,53.8161,0,0,False,True,132453527,"013.log"
14,"A0","23_old_wpms_160","causal-discovery_wt-causal_Link_10_1000_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",60.186328,40.3837,48.8635,0,0,False,True,28490847,"014.log"
15,"A0","23_old_wpms_160","causal-discovery_wt-causal_Link_9_100_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",60.043517,1.2517,20.6505,0,0,False,True,2083825,"015.log"
16,"A0","23_old_wpms_160","causal-discovery_wt-causal_Mushroom_7_1000_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",60.030042,0.32751,3.78206,0,0,False,True,263844,"016.log"
17,"A0","23_old_wpms_160","causal-discovery_wt-causal_Pigs_6_1000_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",60.018970,0.31038,41.6703,0,0,False,True,20157909,"017.log"
18,"A0","23_old_wpms_160","causal-discovery_wt-causal_Water_10_1000_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",60.114475,3.79559,3.79559,0,0,False,True,45193159,"018.log"
19,"A0","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Ionosphere_BINARY_N260_D0.200_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",60.164791,0.516693,8.99451,0,0,False,True,7014701,"019.log"
20,"A0","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein1_UNARY_N290_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",60.320724,6.54232,50.2145,0,0,False,True,19777685,"020.log"
