Index,Mode,Set,Instance,Seed,CutoffSeconds,SolverSHA256,ExternalSeconds,FirstFeasibleTimeSeconds,PaperTableTimeSeconds,SolverExitCode,VerifierExitCode,EarlyExit,HasVerifiedSolution,BestCost,Log
1,"A2","23_old_wpms_160","abstraction-refinement_wt-downcast-antlr_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",67.387663,,,255,1,False,False,,"001.log"
2,"A2","23_old_wpms_160","abstraction-refinement_wt-downcast-avrora_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.175116,58.556987,58.556987,0,0,False,True,52209,"002.log"
3,"A2","23_old_wpms_160","abstraction-refinement_wt-downcast-hsqldb_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",63.201338,,,255,1,False,False,,"003.log"
4,"A2","23_old_wpms_160","abstraction-refinement_wt-downcast-pmd_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",63.531377,,,255,1,False,False,,"004.log"
5,"A2","23_old_wpms_160","abstraction-refinement_wt-downcast-xalan_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",66.794839,,,255,1,False,False,,"005.log"
6,"A2","23_old_wpms_160","abstraction-refinement_wt-polysite-avrora_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",62.271686,60.917213,60.917213,0,0,False,True,57355,"006.log"
7,"A2","23_old_wpms_160","abstraction-refinement_wt-polysite-bloat_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",63.110253,,,255,1,False,False,,"007.log"
8,"A2","23_old_wpms_160","abstraction-refinement_wt-polysite-hsqldb_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",62.554664,,,255,1,False,False,,"008.log"
9,"A2","23_old_wpms_160","abstraction-refinement_wt-polysite-pmd_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",67.533470,,,255,1,False,False,,"009.log"
10,"A2","23_old_wpms_160","abstraction-refinement_wt-polysite-xalan_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",67.058046,,,255,1,False,False,,"010.log"
11,"A2","23_old_wpms_160","causal-discovery_wt-causal_alarm_9_1000_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.056506,11.040927,37.441457,0,0,False,True,37913754,"011.log"
12,"A2","23_old_wpms_160","causal-discovery_wt-causal_carpo_8_1000_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.030802,2.841296,6.599834,0,0,False,True,2244087,"012.log"
13,"A2","23_old_wpms_160","causal-discovery_wt-causal_Link_10_10000_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.232110,25.664436,25.664436,0,0,False,True,257745134,"013.log"
14,"A2","23_old_wpms_160","causal-discovery_wt-causal_Link_10_1000_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.142527,18.505734,18.505734,0,0,False,True,40972742,"014.log"
15,"A2","23_old_wpms_160","causal-discovery_wt-causal_Link_9_100_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.064664,7.066046,7.066046,0,0,False,True,3242187,"015.log"
16,"A2","23_old_wpms_160","causal-discovery_wt-causal_Mushroom_7_1000_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.012186,1.086051,1.086051,0,0,False,True,542544,"016.log"
17,"A2","23_old_wpms_160","causal-discovery_wt-causal_Pigs_6_1000_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.044145,2.509480,2.509480,0,0,False,True,35110976,"017.log"
18,"A2","23_old_wpms_160","causal-discovery_wt-causal_Water_10_1000_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.182627,20.557078,20.557078,0,0,False,True,45193159,"018.log"
19,"A2","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Ionosphere_BINARY_N260_D0.200_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.044123,2.634207,10.239712,0,0,False,True,7014701,"019.log"
20,"A2","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein1_UNARY_N290_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.360988,22.026966,22.026966,0,0,False,True,33957845,"020.log"
21,"A2","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N220_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.023338,0.896597,9.239280,0,0,False,True,14004102,"021.log"
22,"A2","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N240_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.018412,1.093214,9.668484,0,0,False,True,16116883,"022.log"
23,"A2","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N380_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.035168,2.770722,14.604301,0,0,False,True,39198852,"023.log"
24,"A2","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_UNARY_N220_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.188233,12.091928,12.091928,0,0,False,True,23179718,"024.log"
25,"A2","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein3_TRANSITIVE_N280_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",64.005355,63.723707,63.723707,0,0,False,True,198654734,"025.log"
26,"A2","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein3_UNARY_N220_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.192173,11.817399,11.817399,0,0,False,True,25805511,"026.log"
27,"A2","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_BINARY_N320_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.022191,1.151536,9.072487,0,0,False,True,14733167,"027.log"
28,"A2","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_UNARY_N250_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.175176,12.271847,12.271847,0,0,False,True,18583119,"028.log"
29,"A2","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Vowel_BINARY_N700_D0.200_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.120392,13.015105,13.015105,0,0,False,True,103856030,"029.log"
30,"A2","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.168985,18.011466,28.997276,0,0,False,True,104848524,"030.log"
31,"A2","23_old_wpms_160","decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_3_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.114539,4.116524,5.697434,0,0,False,True,355,"031.log"
32,"A2","23_old_wpms_160","decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.053524,4.072623,10.788783,0,0,False,True,762,"032.log"
33,"A2","23_old_wpms_160","decision-tree-australian-credit-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.088888,3.763517,3.763517,0,0,False,True,599,"033.log"
34,"A2","23_old_wpms_160","decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.585600,47.576862,47.576862,0,0,False,True,98,"034.log"
35,"A2","23_old_wpms_160","decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_4_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.024182,0.973146,1.164712,0,0,False,True,138,"035.log"
36,"A2","23_old_wpms_160","decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.058305,3.227769,3.522373,0,0,False,True,146,"036.log"
37,"A2","23_old_wpms_160","decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_6_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.042753,3.220958,3.915797,0,0,False,True,240,"037.log"
38,"A2","23_old_wpms_160","decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.204652,16.751943,23.839073,0,0,False,True,117,"038.log"
39,"A2","23_old_wpms_160","decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_4_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.174931,14.899336,14.899336,0,0,False,True,269,"039.log"
40,"A2","23_old_wpms_160","decision-tree-primary-tumor-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.016613,0.394942,5.052612,0,0,False,True,84,"040.log"
41,"A2","23_old_wpms_160","decision-tree-primary-tumor-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.026899,1.262510,5.072092,0,0,False,True,155,"041.log"
42,"A2","23_old_wpms_160","decision-tree-primary-tumor-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_6_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.052513,4.427258,4.427258,0,0,False,True,385,"042.log"
43,"A2","23_old_wpms_160","decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.015592,0.660695,0.805752,0,0,False,True,335,"043.log"
44,"A2","23_old_wpms_160","decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_3_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.012402,0.695513,0.772662,0,0,False,True,443,"044.log"
45,"A2","23_old_wpms_160","decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_2_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.037020,1.629682,1.629682,0,0,False,True,286,"045.log"
46,"A2","23_old_wpms_160","drmx-cryptogen_wt-geffe128_7_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.015892,0.060978,30.924221,0,0,False,True,800,"046.log"
47,"A2","23_old_wpms_160","generalized-ising_wt-IS11_5.0.5.0.0.5_softer_periodic_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.019939,0.383396,0.387243,0,0,False,True,112072158920140,"047.log"
48,"A2","23_old_wpms_160","generalized-ising_wt-IS12_5.0.5.0.0.5_softer_periodic_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.021868,0.388337,0.812114,0,0,False,True,113171466486232,"048.log"
49,"A2","23_old_wpms_160","generalized-ising_wt-IS13_5.0.5.0.0.5_softer_periodic_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.046890,0.390984,0.394652,0,0,False,True,119401387482250,"049.log"
50,"A2","23_old_wpms_160","generalized-ising_wt-IS15_5.0.5.0.0.5_softer_periodic_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.013519,0.365696,0.370661,0,0,False,True,114658059944605,"050.log"
51,"A2","23_old_wpms_160","generalized-ising_wt-IS16_5.0.5.0.0.5_softer_periodic_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.009827,0.369522,1.768265,0,0,False,True,115258059944605,"051.log"
52,"A2","23_old_wpms_160","generalized-ising_wt-IS17_5.0.5.0.0.5_softer_periodic_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.013609,0.363086,0.469132,0,0,False,True,115902780531937,"052.log"
53,"A2","23_old_wpms_160","generalized-ising_wt-IS20_5.0.5.0.0.5_softer_periodic_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.030147,0.366700,0.371274,0,0,False,True,119388436533633,"053.log"
54,"A2","23_old_wpms_160","generalized-ising_wt-IS22_5.0.5.0.0.5_softer_periodic_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.046063,0.366426,25.685852,0,0,False,True,119082223939873,"054.log"
55,"A2","23_old_wpms_160","generalized-ising_wt-IS23_5.0.5.0.0.5_softer_periodic_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.017807,0.370204,0.415377,0,0,False,True,118669898946710,"055.log"
56,"A2","23_old_wpms_160","generalized-ising_wt-IS3_5.0.5.0.0.5_softer_periodic_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.044021,0.368848,12.058244,0,0,False,True,116825198407457,"056.log"
57,"A2","23_old_wpms_160","generalized-ising_wt-IS4_5.0.5.0.0.5_softer_periodic_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.038993,0.371179,10.404014,0,0,False,True,116029668824275,"057.log"
58,"A2","23_old_wpms_160","generalized-ising_wt-IS5_5.0.5.0.0.5_softer_periodic_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.031912,0.367602,0.697422,0,0,False,True,115021199007239,"058.log"
59,"A2","23_old_wpms_160","generalized-ising_wt-IS6_5.0.5.0.0.5_softer_periodic_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.026910,0.375368,13.166035,0,0,False,True,113944733329243,"059.log"
60,"A2","23_old_wpms_160","generalized-ising_wt-IS7_5.0.5.0.0.5_softer_periodic_old.wcnf",1,60,"f8181a578cd725c2a91d9d2eea914fd586eae470d92c4fe18f5f929fa0e0089e",60.022582,0.383049,2.508090,0,0,False,True,112740955536223,"060.log"
